item_id	module	type	ru_text	en_text_draft	ru_option_a	en_option_a_draft	ru_option_b	en_option_b_draft	review_status	source_note
SAT23	SAT24	likert	Даже небольшое доброжелательное прикосновение иногда вызывает у меня заметное телесное изменение — например тепло, расслабление или изменение общего тонуса.	Even a small friendly touch sometimes produces a noticeable bodily change in me—for example warmth, relaxation, or a change in overall tone.					DRAFT / SEMANTIC AUDIT REQUIRED	
SAT24	SAT24	likert	Неподходящее для меня прикосновение часто вызывает телесную реакцию раньше, чем я успеваю сформулировать, почему оно мне не подходит.	Touch that does not feel right for me often produces a bodily reaction before I can put into words why it does not feel right.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q01	P72	likert	Когда я замечал(а) визуальную гармонию или красоту тела, моё внимание часто переходило от простого любования к эротическому интересу.	When I noticed visual harmony or beauty in a body, my attention often shifted from simple admiration toward erotic interest.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q02	P72	likert	Мне было важно не только видеть желание партнёра, но и чувствовать, что мы вместе формируем то, как смотрим друг на друга и создаём атмосферу.	It mattered to me not only to see a partner’s desire, but also to feel that together we were shaping how we looked at each other and creating the atmosphere.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q03	P72	likert	Без реальных телесных или сенсорных сигналов даже привлекательный визуальный образ иногда оставался для меня неполным.	Without real bodily or sensory signals, even an attractive visual image sometimes felt incomplete to me.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q04	P72	likert	Меня захватывало не столько удачно зафиксированное положение, сколько то, как сама форма менялась в движении.	What captivated me was not so much a well-captured static position as the way the form itself changed in motion.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q05	P72	likert	Предвкушение ещё не исследованной вариации само по себе удерживало моё внимание и интерес.	Anticipation of a variation I had not yet explored was enough on its own to hold my attention and interest.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q06	P72	likert	Знакомый мне образ всё равно мог сильно притягивать, если в нём сохранялись масштаб, контраст или мощная выразительность.	A familiar image could still attract me strongly if it retained scale, contrast, or powerful expressiveness.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q07	P72	likert	Одна характерная деталь тела могла удерживать моё внимание независимо от того, насколько идеальным был общий силуэт.	A single distinctive detail of the body could hold my attention regardless of how ideal the overall silhouette was.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q08	P72	likert	Слишком нейтральная или сдержанная подача часто уменьшала силу моего впечатления, даже если сам образ был новым.	An overly neutral or restrained presentation often reduced the strength of my impression, even when the image itself was new.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q09	P72	likert	Когда визуальная красота оставалась для меня только красивой и не переходила в телесный отклик, моё эротическое вовлечение часто ощущалось неполным.	When visual beauty remained only beautiful to me and did not turn into a bodily response, my erotic involvement often felt incomplete.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q10	P72	likert	Один и тот же человек мог восприниматься мной заметно по-разному в зависимости от света, ракурса, фона или качества видимости.	The same person could feel noticeably different to me depending on lighting, angle, background, or quality of visibility.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q11	P72	likert	Для усиления моего желания было важно прежде всего почувствовать реальный отклик партнёра, даже если мы не создавали вместе особую визуальную атмосферу.	For my desire to intensify, what mattered most was feeling a real response from my partner, even if we were not creating a special visual atmosphere together.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q12	P72	likert	Я мог(ла) подолгу удерживать внимание на гармонии формы тела просто потому, что она казалась мне красивой.	I could keep my attention on the harmony of bodily form for a long time simply because I found it beautiful.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q13	P72	likert	Искреннее желание, удовольствие или эмоциональная включённость партнёра могли сами по себе усиливать моё собственное возбуждение.	A partner’s genuine desire, pleasure, or emotional engagement could by itself intensify my own arousal.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q14	P72	likert	Моё внимание легко следовало за тем, как при движении меняются линии, напряжение, баланс и объёмы тела.	My attention readily followed the way lines, tension, balance, and bodily volumes changed in movement.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q15	P72	likert	Поверхность и объём тела удерживали моё внимание не только визуально: я мысленно как будто ощущал(а), какими они были бы на ощупь.	The surface and volume of a body held my attention not only visually: in my mind I almost sensed what they would feel like to the touch.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q16	P72	likert	Сильный контраст, масштаб, подчёркнутая форма или необычная выразительность могли мгновенно усиливать моё притяжение.	Strong contrast, scale, emphasized form, or unusual expressiveness could instantly intensify my attraction.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q17	P72	likert	Одностороннее рассматривание без ощущения совместности могло обеднять мой опыт, даже при явной взаимной симпатии или желании.	One-sided looking without a sense of mutual participation could impoverish my experience, even when mutual attraction or desire was clearly present.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q18	P72	likert	Когда зрительный образ не вызывал у меня никакого ощущения фактуры или телесности, он становился заметно менее живым и вовлекающим.	When a visual image gave me no sense of texture or bodily substance, it became noticeably less vivid and engaging.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q19	P72	likert	Когда несколько чувств включались одновременно, моё внимание сильнее погружалось в человека, чем при одном зрительном впечатлении.	When several senses were engaged at the same time, my attention became more deeply absorbed in the person than with visual impression alone.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q20	P72	likert	Красота линии, силуэта или жеста могла сама по себе вызывать у меня эстетическое восхищение, даже если я не хотел(а) развивать это в сексуальную сторону.	The beauty of a line, silhouette, or gesture could by itself evoke aesthetic admiration in me even when I did not want to take it in a sexual direction.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q21	P72	likert	Новый образ, ракурс, вариация или сценарий могли быстро вернуть моё внимание к уже знакомому человеку.	A new image, angle, variation, or scenario could quickly renew my attention toward someone already familiar to me.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q22	P72	likert	То, как тело было показано в пространстве и освещении, нередко становилось центральной частью моего визуального впечатления.	The way a body was presented in space and light often became a central part of my visual impression.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q23	P72	likert	Бывало, что я ясно ценил(а) красоту тела как эстетическое переживание, хотя телесного возбуждения в этот момент почти не было.	At times I clearly appreciated the beauty of a body as an aesthetic experience while experiencing almost no bodily arousal at that moment.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q24	P72	likert	Когда визуальный образ создавался нами вместе, сам обмен взглядами и реакциями мог стать центральной частью моего внимания.	When we created the visual image together, the exchange of looks and reactions itself could become a central part of my attention.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q25	P72	likert	Для моего возбуждения имел значение именно переход от увиденной красоты к телесному желанию, а не только факт, что я считал(а) человека красивым.	For my arousal, what mattered was specifically the transition from perceived beauty to bodily desire, not merely the fact that I considered someone beautiful.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q26	P72	likert	При первом впечатлении я часто сразу считывал(а) общую архитектуру тела - силуэт, пропорции, линии и баланс объёмов.	On first impression, I often immediately registered the body’s overall architecture—silhouette, proportions, lines, and balance of volumes.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q27	P72	likert	Долгое повторение без заметной вариативности обычно снижало мою вовлечённость.	Prolonged repetition without noticeable variation usually reduced my involvement.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q28	P72	likert	Чтобы ощущение стало по-настоящему телесным, мне часто было важно получить реальный сенсорный отклик, а не только представить его по виду.	For an impression to become genuinely bodily, I often needed real sensory feedback rather than only imagining it from what I saw.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q29	P72	likert	Жест, поворот или переход между позами мог сразу сделать тело для меня выразительнее, чем в неподвижном состоянии.	A gesture, turn, or transition between poses could immediately make a body more expressive to me than when it was still.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q30	P72	likert	Даже привлекательные детали теряли часть силы, если общий силуэт или соотношение объёмов казались мне несобранными.	Even attractive details lost some of their force if the overall silhouette or balance of volumes felt incoherent to me.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q31	P72	likert	Во время эротического вовлечения я естественно замечал(а) отклик партнёра, и он становился частью того, что удерживало мой интерес.	During erotic involvement, I naturally noticed my partner’s response, and it became part of what sustained my interest.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q32	P72	likert	Взаимный взгляд и совместное изменение позы, света или атмосферы могли сами становиться источником эротического вовлечения.	Mutual gaze and jointly changing pose, lighting, or atmosphere could themselves become a source of erotic involvement.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q33	P72	likert	Отдельные особенности - рельеф, переходы, контуры или небольшие анатомические детали - сами привлекали моё внимание.	Individual features—relief, transitions, contours, or small anatomical details—attracted my attention in their own right.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q34	P72	likert	Я мог(ла) получить почти осязательное впечатление от тела только через взгляд, даже когда реального прикосновения не было и оно не требовалось.	I could have an almost tactile impression of a body through sight alone, even when there was no actual touch and none was needed.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q35	P72	likert	Даже без движения смена света, ракурса или композиции могла существенно изменить силу моего впечатления.	Even without movement, a change in lighting, angle, or composition could substantially change the strength of my impression.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q36	P72	likert	Когда я видел(а) только неподвижный образ, мне иногда не хватало именно пластики движения, чтобы впечатление стало полноценным.	When I saw only a still image, I sometimes specifically missed the plasticity of movement needed for the impression to feel complete.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q37	P72	likert	Цельное сочетание форм удерживало моё внимание сильнее, чем любой один отдельный признак.	An integrated combination of forms held my attention more strongly than any single isolated feature.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q38	P72	likert	Реальные ощущения - прикосновение, температура, запах, голос или дыхание рядом - могли заметно усиливать моё визуальное и эротическое вовлечение.	Real sensations—touch, temperature, scent, voice, or nearby breathing—could noticeably intensify my visual and erotic involvement.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q39	P72	likert	Если индивидуальный рельеф и характерные детали становились визуально нейтральными или незаметными, моё впечатление теряло часть интереса.	If individual contours and distinctive details became visually neutral or hard to notice, my impression lost some of its interest.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q40	P72	likert	Неудачный свет, ракурс или визуальный хаос могли заметно уменьшить моё вовлечение, даже если сама форма тела мне нравилась.	Unflattering light, angle, or visual clutter could noticeably reduce my involvement even when I liked the bodily form itself.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q41	P72	likert	Даже в неподвижном образе я прежде всего воспринимал(а), как линии и объёмы складываются в единую композицию.	Even in a still image, I primarily perceived how lines and volumes came together into a unified composition.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q42	P72	likert	Визуально красивый образ тела мог сам по себе быстро запускать у меня телесное возбуждение ещё до прикосновения или явного отклика партнёра.	A visually beautiful image of a body could by itself quickly trigger bodily arousal in me, even before touch or an explicit response from a partner.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q43	P72	likert	Когда я не находил(а) образ эстетически красивым, часть моего вовлечения терялась, даже если сексуальное желание или личная симпатия сохранялись.	When I did not find an image aesthetically beautiful, part of my involvement was lost even if sexual desire or personal liking remained.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q44	P72	likert	Одного взгляда на кожу, изгиб или рельеф иногда было достаточно, чтобы почти почувствовать их фактуру, тепло или плотность.	A glance at skin, a curve, or bodily relief was sometimes enough for me to almost feel its texture, warmth, or density.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q45	P72	likert	Даже небольшая и неяркая новизна могла оживить мой интерес, не требуя сильного контраста или интенсивности.	Even a small and subtle novelty could enliven my interest without requiring strong contrast or intensity.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q46	P72	likert	Я мог(ла) получать сильное впечатление от конкретной детали, даже когда общий силуэт не казался мне особенно выдающимся.	I could be strongly affected by a specific detail even when the overall silhouette did not seem especially striking to me.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q47	P72	likert	При отсутствии явного эмоционального или эротического отклика со стороны партнёра моё вовлечение часто становилось менее глубоким, даже если визуально человек оставался привлекательным.	When a partner showed no clear emotional or erotic response, my involvement often became less deep even if I still found the person visually attractive.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q48	P72	likert	Ярко выраженные формы или контрасты могли доминировать в моём внимании, даже если я видел(а) их уже не впервые.	Pronounced forms or contrasts could dominate my attention even when I had seen them before.					DRAFT / SEMANTIC AUDIT REQUIRED	
Q49	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	If only one mechanism could be retained, which would be harder for you to replace?	Чтобы внимание захватывала тонкая индивидуальная деталь или переход формы.	Having my attention captured by a subtle individual detail or transition of form.	Чтобы внимание захватывала сильная, масштабная или контрастная выразительность.	Having my attention captured by strong, large-scale, or high-contrast expressiveness.	DRAFT / SEMANTIC AUDIT REQUIRED	
Q50	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	If only one mechanism could be retained, which would be harder for you to replace?	Чтобы выразительность раскрывалась в изменении формы во времени.	Having expressiveness unfold through changes in form over time.	Чтобы особенно сильно работала цельная архитектура силуэта и пропорций.	Having the integrated architecture of silhouette and proportions exert especially strong impact.	DRAFT / SEMANTIC AUDIT REQUIRED	
Q51	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? интенсивности.	If only one mechanism could be retained, which would be harder for you to replace?	Чтобы особенно действовала мощная, подчёркнутая выразительность формы.	Being especially affected by powerful, emphasized expressiveness of form.	Чтобы красота и гармония формы были ценны сами по себе, даже без высокой	Having the beauty and harmony of form be valuable in their own right, even without high intensity.	DRAFT / SEMANTIC AUDIT REQUIRED	SOURCE CONCATENATION ANOMALY IN CURRENT RUNTIME EXPORT - verify against frozen scientific authority before release
Q52	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	If only one mechanism could be retained, which would be harder for you to replace?	Получать новый импульс от смены образа, вариации или сценария.	Getting a new impulse from a change of image, variation, or scenario.	Чтобы сила впечатления зависела от точного света, ракурса и композиции.	Having the strength of the impression depend on precise lighting, angle, and composition.	DRAFT / SEMANTIC AUDIT REQUIRED	
Q53	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? обычный.	If only one mechanism could be retained, which would be harder for you to replace?	Замечать и удерживать внимание на индивидуальной детали, даже если общий силуэт	Noticing and holding attention on an individual detail even when the overall silhouette is ordinary.	Считывать цельную композицию тела, даже если отдельные детали не выделяются.	Reading the body as an integrated composition even when individual details do not stand out.	DRAFT / SEMANTIC AUDIT REQUIRED	SOURCE CONCATENATION ANOMALY IN CURRENT RUNTIME EXPORT - verify against frozen scientific authority before release
Q54	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	If only one mechanism could be retained, which would be harder for you to replace?	Получать почти осязательное ощущение поверхности уже через взгляд.	Getting an almost tactile sense of surface through sight alone.	Считывать, как форма тела оживает и меняется в жесте и движении.	Reading how bodily form comes alive and changes through gesture and movement.	DRAFT / SEMANTIC AUDIT REQUIRED	
Q55	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? присутствия партнёра. интенсивности.	If only one mechanism could be retained, which would be harder for you to replace?	Чтобы вовлечение становилось глубже от видимого удовольствия и личного	Having involvement deepen through a partner’s visible pleasure and personal presence.	Чтобы притяжение усиливалось от масштаба, контраста и выразительной	Having attraction intensify through scale, contrast, and expressive intensity.	DRAFT / SEMANTIC AUDIT REQUIRED	SOURCE CONCATENATION ANOMALY IN CURRENT RUNTIME EXPORT - verify against frozen scientific authority before release
Q56	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	If only one mechanism could be retained, which would be harder for you to replace?	Чтобы качество света, ракурса и пространства определяло силу визуального момента.	Having the quality of light, angle, and space determine the strength of the visual moment.	Чтобы главное изменение впечатления происходило через жест, поворот и движение.	Having the main change in impression occur through gesture, turning, and movement.	DRAFT / SEMANTIC AUDIT REQUIRED	
Q57	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	If only one mechanism could be retained, which would be harder for you to replace?	Наблюдать превращение линий и объёмов в движении.	Watching lines and volumes transform in movement.	Вместе формировать визуальную атмосферу через взаимный взгляд, позу и реакцию.	Jointly shaping the visual atmosphere through mutual gaze, pose, and response.	DRAFT / SEMANTIC AUDIT REQUIRED	
Q58	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	If only one mechanism could be retained, which would be harder for you to replace?	Чтобы увиденная красота сама запускала эротический телесный отклик.	Having perceived beauty itself trigger an erotic bodily response.	Чтобы взгляд почти давал ощущение фактуры, объёма и прикосновения.	Having sight almost provide a sense of texture, volume, and touch.	DRAFT / SEMANTIC AUDIT REQUIRED	
Q59	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	If only one mechanism could be retained, which would be harder for you to replace?	Воспринимать баланс всего силуэта и соотношение объёмов.	Perceiving the balance of the whole silhouette and the relationship among volumes.	Почти телесно чувствовать поверхность и объём уже по визуальному образу.	Almost physically sensing surface and volume from the visual image alone.	DRAFT / SEMANTIC AUDIT REQUIRED	
Q60	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	If only one mechanism could be retained, which would be harder for you to replace?	Получать квазитактильное ощущение только через взгляд, без реального контакта.	Getting a quasi-tactile sensation through sight alone, without actual contact.	Получать полноту именно от реальных сенсорных сигналов, добавленных к зрению.	Getting a sense of completeness specifically from real sensory signals added to vision.	DRAFT / SEMANTIC AUDIT REQUIRED	
Q61	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? полноценным. видимость.	If only one mechanism could be retained, which would be harder for you to replace?	Чтобы реальное присутствие других ощущений делало визуальное впечатление	Having the real presence of other sensations make the visual impression complete.	Чтобы решающее значение имела визуальная постановка - свет, ракурс, фон и	Having visual staging—light, angle, background, and visibility—be decisive.	DRAFT / SEMANTIC AUDIT REQUIRED	SOURCE CONCATENATION ANOMALY IN CURRENT RUNTIME EXPORT - verify against frozen scientific authority before release
Q62	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	If only one mechanism could be retained, which would be harder for you to replace?	Участвовать вдвоём в том, как создаётся визуальный и чувственный момент.	Participating together in how the visual and sensory moment is created.	Открывать новую вариацию или ракурс, который снова оживляет интерес.	Discovering a new variation or angle that brings interest back to life.	DRAFT / SEMANTIC AUDIT REQUIRED	
Q63	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	If only one mechanism could be retained, which would be harder for you to replace?	Считывать тело прежде всего как цельную систему линий, пропорций и объёмов.	Reading the body primarily as an integrated system of lines, proportions, and volumes.	Переживать красоту тела как самостоятельную эстетическую ценность.	Experiencing bodily beauty as an aesthetic value in its own right.	DRAFT / SEMANTIC AUDIT REQUIRED	
Q64	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	If only one mechanism could be retained, which would be harder for you to replace?	Сохранять эстетическое восхищение формой само по себе.	Retaining aesthetic admiration of form in its own right.	Сохранять усиление желания от эмоционального и эротического отклика партнёра.	Retaining the increase in desire produced by a partner’s emotional and erotic response.	DRAFT / SEMANTIC AUDIT REQUIRED	
Q65	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? контраста. интенсивности.	If only one mechanism could be retained, which would be harder for you to replace?	Чтобы даже знакомая форма могла сильно действовать за счёт интенсивности и	Having even a familiar form remain strongly affecting through intensity and contrast.	Чтобы даже небольшая новая вариация могла оживлять интерес без сильной	Having even a small new variation revive interest without strong intensity.	DRAFT / SEMANTIC AUDIT REQUIRED	SOURCE CONCATENATION ANOMALY IN CURRENT RUNTIME EXPORT - verify against frozen scientific authority before release
Q66	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? голосом или запахом.	If only one mechanism could be retained, which would be harder for you to replace?	Предвкушать и исследовать ещё не знакомую вариацию.	Anticipating and exploring a variation that is still unfamiliar.	Погружаться через реальное соединение зрения с прикосновением, температурой,	Becoming immersed through the real combination of vision with touch, temperature, voice, or scent.	DRAFT / SEMANTIC AUDIT REQUIRED	SOURCE CONCATENATION ANOMALY IN CURRENT RUNTIME EXPORT - verify against frozen scientific authority before release
Q67	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? желания.	If only one mechanism could be retained, which would be harder for you to replace?	Чувствовать совместность взгляда и то, что образ создаётся вдвоём.	Feeling the mutuality of the gaze and that the image is being created together.	Чувствовать искреннее желание и удовольствие партнёра как усилитель собственного	Feeling a partner’s genuine desire and pleasure as an amplifier of my own desire.	DRAFT / SEMANTIC AUDIT REQUIRED	SOURCE CONCATENATION ANOMALY IN CURRENT RUNTIME EXPORT - verify against frozen scientific authority before release
Q68	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? даже без возбуждения.	If only one mechanism could be retained, which would be harder for you to replace?	Сохранить возможность любоваться красотой тела как самостоятельной ценностью,	Retaining the ability to admire bodily beauty as a value in its own right, even without arousal.	Сохранить способность визуальной красоте быстро переходить в телесное возбуждение.	Retaining the ability for visual beauty to shift quickly into bodily arousal.	DRAFT / SEMANTIC AUDIT REQUIRED	SOURCE CONCATENATION ANOMALY IN CURRENT RUNTIME EXPORT - verify against frozen scientific authority before release
Q69	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	If only one mechanism could be retained, which would be harder for you to replace?	Чтобы собственное возбуждение заметно усиливалось от живого отклика партнёра.	Having my own arousal noticeably intensify in response to a partner’s live response.	Чтобы визуальная красота сама по себе переводила интерес в телесное возбуждение.	Having visual beauty itself turn interest into bodily arousal.	DRAFT / SEMANTIC AUDIT REQUIRED	
Q70	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? вовлечения.	If only one mechanism could be retained, which would be harder for you to replace?	Чтобы прикосновение, температура, голос или запах добавляли важную часть	Having touch, temperature, voice, or scent add an important part of the involvement.	Чтобы уникальные локальные особенности тела сами удерживали интерес.	Having unique local features of the body sustain interest on their own.	DRAFT / SEMANTIC AUDIT REQUIRED	SOURCE CONCATENATION ANOMALY IN CURRENT RUNTIME EXPORT - verify against frozen scientific authority before release
