id	module	type	text	optionA	optionB
Q64	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	Сохранять эстетическое восхищение формой само по себе.	Сохранять усиление желания от эмоционального и эротического отклика партнёра.
Q65	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? контраста. интенсивности.	Чтобы даже знакомая форма могла сильно действовать за счёт интенсивности и	Чтобы даже небольшая новая вариация могла оживлять интерес без сильной
Q66	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? голосом или запахом.	Предвкушать и исследовать ещё не знакомую вариацию.	Погружаться через реальное соединение зрения с прикосновением, температурой,
Q67	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? желания.	Чувствовать совместность взгляда и то, что образ создаётся вдвоём.	Чувствовать искреннее желание и удовольствие партнёра как усилитель собственного
Q68	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? даже без возбуждения.	Сохранить возможность любоваться красотой тела как самостоятельной ценностью,	Сохранить способность визуальной красоте быстро переходить в телесное возбуждение.
Q69	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить?	Чтобы собственное возбуждение заметно усиливалось от живого отклика партнёра.	Чтобы визуальная красота сама по себе переводила интерес в телесное возбуждение.
Q70	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? вовлечения.	Чтобы прикосновение, температура, голос или запах добавляли важную часть	Чтобы уникальные локальные особенности тела сами удерживали интерес.
Q71	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? показана. самостоятельную привлекательность.	Чтобы одна и та же форма сильно менялась для меня из-за способа, которым она	Чтобы отдельный рельеф, переход или анатомическая деталь сохраняли
Q72	P72	comparative	Если сохранить можно только один механизм, что для вас труднее заменить? возбуждения.	Чтобы красивый визуальный образ непосредственно включал эротическую реакцию.	Чтобы взаимный взгляд и совместное создание атмосферы становились частью
D01	P72D	likert	Мне было важно периодически чувствовать, что другой человек сам создаёт эротическое пространство, а не ждёт моей постоянной режиссуры.		
D02	P72D	likert	Если стресс, усталость или временное снижение либидо уменьшали желание, оно могло восстановиться после изменения состояния.		
D03	P72D	likert	Моё желание лучше сохранялось, когда партнёр оставался самостоятельным человеком со своей отдельностью, а не полностью сливался со мной.		
D04	P72D	likert	Когда сильное желание реализовывалось в сексе, партнёр обычно сохранял для меня примерно ту же эротическую категорию и притягательность.		
D05	P72D	likert	С ростом доверия и знания человека моё сексуальное желание к нему могло становиться глубже.		
D06	P72D	likert	По мере более глубокого знакомства я мог(ла) обнаруживать в том же партнёре новые эротические стороны, которых раньше не замечал(а).		
D07	P72D	likert	Самостоятельная эротическая инициатива партнёра была для меня отдельным источником возбуждения.		
D08	P72D	likert	Эмоциональная близость и доверие могли усиливать моё сексуальное желание к партнёру.		
D09	P72D	likert	Чем дольше длилось знакомство, тем чаще мне требовался дополнительный стимул, чтобы включиться с прежней силой.		
D10	P72D	likert	После периода сексуальной скуки или однообразия удачная смена сценария могла заметно восстановить мой интерес.		
D11	P72D	likert	Удачный сексуальный контакт мог сделать партнёра для меня более эротически привлекательным в последующие дни.		
D12	P72D	likert	Новая сторона знакомого человека обычно уступала по силе ощущению совершенно нового человека.		
D13	P72D	likert	После реализации желания человек мог оставаться для меня очень красивым и эстетически привлекательным, но сексуально возбуждать заметно меньше.		
D14	P72D	likert	Избыток бытового слияния и фиксированных ролей мог постепенно переводить близкого человека для меня в менее сексуальную категорию.		
D15	P72D	likert	После периода привычности желание могло снова нарастать внутри тех же отношений и становиться сильным, даже если партнёр оставался тем же.		
D16	P72D	likert	После отказа или несовпадения желания в конкретный момент я обычно мог(ла) вернуться к эротическому контакту без длительного остаточного охлаждения.		
D17	P72D	likert	Если партнёр в основном только откликался, но редко сам начинал или предлагал, моё желание со временем становилось менее живым.		
D18	P72D	likert	После длительного периода похожих сексуальных эпизодов желание к тому же человеку заметно снижалось.		
D19	P72D	likert	После сексуального контакта бывало, что человек довольно быстро начинал восприниматься мной прежде всего как близкий собеседник, приятель или друг.		
D20	P72D	likert	Когда я уже очень хорошо знал(а) партнёра, по-настоящему сильное обновление желания чаще требовало смены человека.		
D21	P72D	likert	Рост эмоциональной близости сам по себе обычно мало менял силу моего сексуального желания.		
D22	P72D	likert	Меня сильнее вовлекал партнёр, у которого было собственное эротическое намерение, а не только готовность поддержать моё.		
D23	P72D	likert	После серьёзного конфликта желание могло вернуться, когда между нами действительно восстанавливался контакт.		
D24	P72D	likert	Даже при хороших отношениях постепенное привыкание могло само по себе уменьшать эротическое напряжение.		
D25	P72D	likert	Когда большинство реакций партнёра становились предсказуемыми, моё сексуальное внимание обычно слабело.		
D26	P72D	likert	Если привычный формат начинал терять силу, я мог(ла) сам(а) предложить новую вариацию или способ взаимодействия.		
D27	P72D	likert	Один неудачный сексуальный эпизод обычно не разрушал моё дальнейшее эротическое восприятие партнёра.		
D28	P72D	likert	Бытовая привычность и глубокая привязанность могли сосуществовать с эротическим интересом, почти не усиливая и не ослабляя его.		
D29	P72D	likert	Чем меньше в человеке оставалось загадки и неизвестности, тем труднее мне было сохранять прежнее эротическое напряжение.		
D30	P72D	likert	После хорошего сексуального контакта ощущение личной связи и значимости этого человека для меня обычно возрастало.		
D31	P72D	likert	После реализации сильного сексуального желания мой эротический интерес к человеку иногда резко падал.		
D32	P72D	likert	После месяцев или лет знакомства мой сексуальный интерес к тому же человеку мог заметно возобновляться, не требуя смены партнёра.		
D33	P72D	likert	В длительной связи хорошо знакомое тело и образ могли оставаться для меня эротически значимыми без постоянного эффекта новизны.		
D34	P72D	likert	При заметных изменениях внешности или тела партнёра я мог(ла) со временем находить новые способы эротически воспринимать его или её.		
D35	P72D	likert	Когда отношения становились слишком семейными, слитыми и предсказуемыми, партнёр мог начать восприниматься мной менее эротически.		
D36	P72D	likert	Если партнёр временно становился пассивнее, я иногда мог(ла) сам(а) вернуть эротическую динамику, а не только ждать его или её инициативы.		
D37	P72D	likert	Мне было естественно попеременно быть инициатором и откликающимся, а не постоянно оставаться в одной роли.		
D38	P72D	likert	Если привычный сексуальный сценарий переставал работать, я мог(ла) перестроиться и найти другой путь к вовлечению.		
D39	P72D	likert	После сексуальной близости у меня часто усиливались нежность и чувство эмоциональной привязанности к партнёру.		
D40	P72D	likert	После исчезновения эффекта первой новизны эротический интерес к партнёру мог сохранять прежнюю силу.		
D41	P72D	likert	Углубление знания партнёра могло само создавать новое эротическое содержание, а не только уменьшать неизвестность.		
D42	P72D	likert	Для сохранения эротического напряжения мне было важно, чтобы даже в близкой связи между нами оставалось некоторое психологическое пространство.		
D43	P72D	likert	Я обычно мог(ла) сам(а) инициировать эротический контакт, не дожидаясь явного первого шага партнёра.		
D44	P72D	likert	Привычность сама по себе не делала близкого человека для меня менее сексуальным.		
D45	P72D	likert	После длительного периода без секса я мог(ла) постепенно снова настроиться на этого же партнёра, а не чувствовать, что связь уже потеряна.		
D46	P72D	likert	После длительного привыкания мой интерес обычно легче запускался новым человеком, чем обновлением контакта с тем же партнёром.		
D47	P72D	likert	Чувство безопасности с партнёром позволяло мне эротически раскрываться сильнее, а не только расслабляться.		
D48	P72D	likert	После реализации сильного влечения сексуальное желание к этому человеку нередко становилось ещё сильнее.		
AO01	AO12	likert	Когда эмоционально важный мне человек становится заметно менее доступным, у меня быстро возникает тревога, что наша связь ослабевает.		
AO02	AO12	likert	Когда я замечаю, что эмоционально нуждаюсь в близком человеке, мне хочется меньше показывать эту потребность и справиться с ней самостоятельно.		
AO03	AO12	likert	Если близкий мне человек просит больше пространства или времени для себя, мне трудно не воспринимать это как возможное ослабление его чувств ко мне.		
AO04	AO12	likert	Мне некомфортно чувствовать, что моё эмоциональное состояние заметно зависит от поддержки близкого человека.		
AO05	AO12	likert	Когда мне неясно, насколько близкий человек по-прежнему вовлечён в нашу связь, мне сильно хочется получить подтверждение, что между нами всё в порядке.		
AO06	AO12	likert	Чем важнее мне человек, тем труднее мне открыто показывать ему свою уязвимость, когда я действительно нуждаюсь в поддержке.		
AO07	AO12	likert	После серьёзного напряжения между нами мне трудно полностью успокоиться, пока я не получу ясный знак, что наша связь по-прежнему важна для партнёра.		
AO08	AO12	likert	Когда близкий человек пытается поддержать меня в эмоционально трудный момент, мне бывает трудно по-настоящему опереться на него, даже если я ему доверяю.		
AO09	AO12	likert	Небольшие изменения в тоне, внимании или частоте общения близкого человека могут заставить меня искать признаки того, что его чувства ко мне изменились.		
AO10	AO12	likert	Когда близкий человек старается очень глубоко включиться в мои переживания, у меня иногда возникает желание эмоционально отдалиться, даже если он настроен доброжелательно.		
AO11	AO12	likert	Если я начинаю сомневаться, что значим(а) для партнёра так же сильно, как он для меня, эта мысль вызывает у меня заметное внутреннее напряжение.		
AO12	AO12	likert	После конфликта мне трудно принимать эмоциональную поддержку именно от партнёра, даже если он искренне пытается восстановить контакт.		
SOMA01	SOMA24	likert	Когда сексуальное возбуждение только начинает возникать, я обычно замечаю первые изменения в собственном теле.		
SOMA02	SOMA24	likert	Я обычно различаю телесное удовольствие от прикосновения и собственно сексуальное возбуждение.		
SOMA03	SOMA24	likert	Подходящий для меня ритм собственных движений обычно помогает поддерживать телесное возбуждение.		
SOMA04	SOMA24	likert	В некоторых эротических ситуациях собственные телесные ощущения становятся для меня менее отчётливыми, и вместе с этим возбуждение ощущается слабее.		
SOMA05	SOMA24	likert	В эротической ситуации мне обычно понятно, в каких частях собственного тела возбуждение ощущается наиболее заметно.		
SOMA06	SOMA24	likert	Я замечаю, что изменение собственного дыхания во время возбуждения меняет то, как оно ощущается в теле.		
SOMA07	SOMA24	likert	Я обычно различаю эстетическое восхищение человеком и появление собственного телесного эротического возбуждения.		
SOMA08	SOMA24	likert	Когда я начинаю следить за тем, как «должно» реагировать моё тело, мне становится труднее непосредственно чувствовать возбуждение.		
SOMA09	SOMA24	likert	Я обычно замечаю начало снижения телесного возбуждения, а не только момент, когда оно уже почти исчезло.		
SOMA10	SOMA24	likert	Мне обычно заметна разница между телесной реакцией на эмоциональную близость и телесным эротическим откликом.		
SOMA11	SOMA24	likert	Я замечаю, что изменение положения собственного тела меняет эротическую вовлечённость, даже когда внешняя стимуляция почти не меняется.		
SOMA12	SOMA24	likert	Даже когда сексуальный интерес сохраняется, сильное мышечное напряжение у меня обычно делает телесное возбуждение менее доступным.		
SOMA13	SOMA24	likert	По мере сексуального возбуждения я обычно замечаю изменения внутреннего телесного состояния — например, дыхания, тепла или пульсации.		
SOMA14	SOMA24	likert	Если физическая близость вызывает заметный телесный отклик, мне обычно понятно, сопровождается ли он сексуальным желанием.		
SOMA15	SOMA24	likert	Направление внимания на собственные телесные ощущения заметно меняет интенсивность моего возбуждения.		
SOMA16	SOMA24	likert	В некоторых эротических ситуациях телесная вовлечённость у меня ослабевает раньше, чем исчезает сам сексуальный интерес.		
SOMA17	SOMA24	likert	По ходу эротической ситуации я обычно улавливаю изменения интенсивности телесного возбуждения.		
SOMA18	SOMA24	likert	Даже при сильной телесной активации я обычно различаю сексуальное возбуждение и неэротическое волнение.		
SOMA19	SOMA24	likert	Когда в эротической ситуации я начинаю активнее двигаться собственным телом, моё возбуждение обычно становится более выраженным.		
SOMA20	SOMA24	likert	При очень интенсивных телесных ощущениях моя эротическая вовлечённость иногда снижается вместо того, чтобы усиливаться.		
SOMA21	SOMA24	likert	В эротически значимой ситуации мне обычно заметно, когда телесный отклик остаётся слабым или почти не возникает.		
SOMA22	SOMA24	likert	Если телесный отклик возникает неожиданно, я обычно могу определить, имеет ли он для меня эротический характер.		
SOMA23	SOMA24	likert	Изменение мышечного напряжения или расслабления собственного тела заметно меняет то, как я ощущаю сексуальное возбуждение.		
SOMA24	SOMA24	likert	Когда дыхание в эротической ситуации становится скованным или поверхностным, я обычно слабее ощущаю телесное возбуждение.		
